rainfall data copyright Foley Matthews 2015,,,
each row below represents a rain event of 0.2mm,,,
min,hour,day,month
22,1,1,4
24,1,1,4
27,1,1,4
28,1,1,4
31,1,1,4
33,1,1,4
35,1,1,4
36,1,1,4
37,1,1,4
37,1,1,4
38,1,1,4
39,1,1,4
40,1,1,4
40,1,1,4
41,1,1,4
41,1,1,4
42,1,1,4
43,1,1,4
44,1,1,4
44,1,1,4
45,1,1,4
46,1,1,4
46,1,1,4
47,1,1,4
47,1,1,4
48,1,1,4
49,1,1,4
49,1,1,4
50,1,1,4
51,1,1,4
51,1,1,4
53,1,1,4
54,1,1,4
55,1,1,4
56,1,1,4
57,1,1,4
59,1,1,4
0,2,1,4
1,2,1,4
3,2,1,4
5,2,1,4
8,2,1,4
11,2,1,4
14,2,1,4
17,2,1,4
22,2,1,4
29,2,1,4
38,2,1,4
13,3,1,4
14,3,1,4
15,3,1,4
16,3,1,4
17,3,1,4
18,3,1,4
18,3,1,4
19,3,1,4
20,3,1,4
21,3,1,4
24,3,1,4
27,3,1,4
31,3,1,4
35,3,1,4
40,3,1,4
58,3,1,4
24,4,1,4
31,4,1,4
34,4,1,4
37,4,1,4
50,4,1,4
56,4,1,4
58,4,1,4
59,4,1,4
1,5,1,4
2,5,1,4
4,5,1,4
5,5,1,4
7,5,1,4
8,5,1,4
10,5,1,4
13,5,1,4
16,5,1,4
18,5,1,4
20,5,1,4
22,5,1,4
25,5,1,4
26,5,1,4
28,5,1,4
30,5,1,4
32,5,1,4
34,5,1,4
37,5,1,4
39,5,1,4
42,5,1,4
45,5,1,4
47,5,1,4
49,5,1,4
51,5,1,4
54,5,1,4
55,5,1,4
56,5,1,4
58,5,1,4
59,5,1,4
1,6,1,4
3,6,1,4
4,6,1,4
6,6,1,4
7,6,1,4
9,6,1,4
11,6,1,4
12,6,1,4
14,6,1,4
15,6,1,4
16,6,1,4
18,6,1,4
21,6,1,4
22,6,1,4
25,6,1,4
27,6,1,4
30,6,1,4
34,6,1,4
36,6,1,4
37,6,1,4
38,6,1,4
39,6,1,4
40,6,1,4
40,6,1,4
41,6,1,4
42,6,1,4
42,6,1,4
43,6,1,4
45,6,1,4
46,6,1,4
48,6,1,4
50,6,1,4
50,6,1,4
51,6,1,4
51,6,1,4
52,6,1,4
52,6,1,4
53,6,1,4
54,6,1,4
55,6,1,4
57,6,1,4
58,6,1,4
1,7,1,4
3,7,1,4
5,7,1,4
7,7,1,4
8,7,1,4
10,7,1,4
11,7,1,4
13,7,1,4
16,7,1,4
18,7,1,4
21,7,1,4
23,7,1,4
26,7,1,4
28,7,1,4
31,7,1,4
33,7,1,4
37,7,1,4
39,7,1,4
41,7,1,4
42,7,1,4
43,7,1,4
45,7,1,4
47,7,1,4
48,7,1,4
50,7,1,4
52,7,1,4
55,7,1,4
58,7,1,4
3,8,1,4
6,8,1,4
9,8,1,4
10,8,1,4
12,8,1,4
14,8,1,4
15,8,1,4
16,8,1,4
18,8,1,4
20,8,1,4
25,8,1,4
34,8,1,4
15,21,1,4
56,21,1,4
39,22,1,4
23,23,1,4
26,23,1,4
30,23,1,4
33,23,1,4
41,23,1,4
46,23,1,4
48,23,1,4
49,23,1,4
7,0,2,4
13,0,2,4
15,0,2,4
18,0,2,4
1,1,2,4
43,1,2,4
58,1,2,4
6,2,2,4
12,2,2,4
32,2,2,4
7,3,2,4
59,8,2,4
56,13,2,4
58,13,2,4
58,13,2,4
59,13,2,4
59,13,2,4
2,14,2,4
13,14,2,4
14,14,2,4
14,14,2,4
15,14,2,4
15,14,2,4
15,14,2,4
15,14,2,4
15,14,2,4
16,14,2,4
16,14,2,4
16,14,2,4
16,14,2,4
16,14,2,4
17,14,2,4
17,14,2,4
17,14,2,4
17,14,2,4
17,14,2,4
17,14,2,4
17,14,2,4
18,14,2,4
18,14,2,4
18,14,2,4
18,14,2,4
18,14,2,4
18,14,2,4
18,14,2,4
19,14,2,4
19,14,2,4
19,14,2,4
19,14,2,4
19,14,2,4
20,14,2,4
20,14,2,4
20,14,2,4
20,14,2,4
21,14,2,4
21,14,2,4
21,14,2,4
22,14,2,4
23,14,2,4
24,14,2,4
25,14,2,4
27,14,2,4
28,14,2,4
31,14,2,4
33,14,2,4
34,15,2,4
35,15,2,4
36,15,2,4
38,15,2,4
39,15,2,4
40,15,2,4
40,15,2,4
41,15,2,4
42,15,2,4
44,15,2,4
46,15,2,4
47,15,2,4
48,15,2,4
50,15,2,4
51,15,2,4
52,15,2,4
53,15,2,4
54,15,2,4
55,15,2,4
57,15,2,4
58,15,2,4
58,15,2,4
59,15,2,4
0,16,2,4
0,16,2,4
1,16,2,4
1,16,2,4
2,16,2,4
2,16,2,4
3,16,2,4
3,16,2,4
4,16,2,4
4,16,2,4
4,16,2,4
5,16,2,4
5,16,2,4
5,16,2,4
5,16,2,4
5,16,2,4
5,16,2,4
6,16,2,4
6,16,2,4
6,16,2,4
6,16,2,4
7,16,2,4
7,16,2,4
7,16,2,4
7,16,2,4
8,16,2,4
8,16,2,4
8,16,2,4
8,16,2,4
9,16,2,4
9,16,2,4
10,16,2,4
11,16,2,4
13,16,2,4
15,16,2,4
19,16,2,4
15,17,2,4
18,17,2,4
20,17,2,4
24,17,2,4
59,17,2,4
9,18,2,4
15,18,2,4
19,18,2,4
21,18,2,4
22,18,2,4
23,18,2,4
23,18,2,4
26,18,2,4
28,18,2,4
37,18,2,4
57,18,2,4
24,19,2,4
24,19,2,4
21,21,2,4
23,21,2,4
3,22,2,4
5,22,2,4
5,22,2,4
5,22,2,4
6,22,2,4
6,22,2,4
7,22,2,4
7,22,2,4
8,22,2,4
9,22,2,4
10,22,2,4
11,22,2,4
12,22,2,4
12,22,2,4
13,22,2,4
13,22,2,4
14,22,2,4
14,22,2,4
14,22,2,4
15,22,2,4
16,22,2,4
16,22,2,4
17,22,2,4
18,22,2,4
19,22,2,4
21,22,2,4
23,22,2,4
26,22,2,4
30,22,2,4
33,22,2,4
43,22,2,4
3,23,2,4
7,0,3,4
57,1,3,4
16,3,3,4
18,3,3,4
49,3,3,4
58,3,3,4
5,4,3,4
11,4,3,4
17,4,3,4
47,4,3,4
51,4,3,4
3,5,3,4
4,5,3,4
4,5,3,4
6,5,3,4
9,5,3,4
21,5,3,4
16,6,3,4
18,6,3,4
19,6,3,4
22,6,3,4
46,10,3,4
11,12,3,4
12,12,3,4
13,12,3,4
13,12,3,4
14,12,3,4
14,12,3,4
14,12,3,4
14,12,3,4
14,12,3,4
14,12,3,4
14,12,3,4
15,12,3,4
15,12,3,4
15,12,3,4
15,12,3,4
15,12,3,4
15,12,3,4
15,12,3,4
16,12,3,4
16,12,3,4
16,12,3,4
16,12,3,4
17,12,3,4
17,12,3,4
17,12,3,4
17,12,3,4
17,12,3,4
18,12,3,4
55,12,3,4
12,13,3,4
12,13,3,4
13,13,3,4
13,13,3,4
14,13,3,4
14,13,3,4
15,13,3,4
15,13,3,4
15,13,3,4
16,13,3,4
16,13,3,4
18,13,3,4
19,13,3,4
4,16,3,4
4,16,3,4
0,18,3,4
0,18,3,4
56,19,3,4
56,19,3,4
52,22,3,4
52,22,3,4
58,1,4,4
36,3,4,4
45,6,4,4
47,6,4,4
48,6,4,4
52,6,4,4
54,6,4,4
5,11,4,4
49,17,4,4
59,17,4,4
4,18,4,4
6,18,4,4
10,18,4,4
16,18,4,4
59,18,4,4
0,19,4,4
3,19,4,4
7,19,4,4
11,19,4,4
16,19,4,4
20,19,4,4
20,19,4,4
27,19,4,4
3,20,4,4
50,20,4,4
56,20,4,4
4,21,4,4
7,21,4,4
12,21,4,4
16,21,4,4
21,21,4,4
24,21,4,4
31,21,4,4
34,21,4,4
40,21,4,4
3,22,4,4
55,22,4,4
57,22,4,4
59,22,4,4
0,23,4,4
1,23,4,4
2,23,4,4
3,23,4,4
4,23,4,4
6,23,4,4
8,23,4,4
9,23,4,4
11,23,4,4
14,23,4,4
19,23,4,4
24,23,4,4
26,23,4,4
47,23,4,4
58,2,5,4
51,14,6,4
51,14,6,4
58,20,6,4
58,20,6,4
53,11,7,4
12,14,11,4
12,14,11,4
24,15,12,4
24,15,12,4
28,15,12,4
28,15,12,4
29,15,12,4
29,15,12,4
29,15,12,4
29,15,12,4
11,17,12,4
11,17,12,4
31,19,12,4
31,19,12,4
49,23,17,4
3,0,18,4
4,0,18,4
16,0,18,4
21,0,18,4
35,2,18,4
10,4,19,4
30,23,19,4
49,23,19,4
25,2,20,4
32,2,20,4
36,2,20,4
37,2,20,4
38,2,20,4
39,2,20,4
40,2,20,4
41,2,20,4
42,2,20,4
44,2,20,4
46,2,20,4
48,2,20,4
50,2,20,4
52,2,20,4
53,2,20,4
54,2,20,4
56,2,20,4
57,2,20,4
59,2,20,4
0,3,20,4
1,3,20,4
2,3,20,4
5,3,20,4
10,3,20,4
14,3,20,4
18,3,20,4
21,3,20,4
23,3,20,4
29,3,20,4
33,3,20,4
35,3,20,4
37,3,20,4
40,3,20,4
43,3,20,4
45,3,20,4
48,3,20,4
51,3,20,4
54,3,20,4
57,3,20,4
26,4,20,4
30,4,20,4
33,4,20,4
36,4,20,4
40,4,20,4
56,4,20,4
24,5,20,4
30,5,20,4
36,6,20,4
25,11,20,4
46,11,20,4
59,11,20,4
7,12,20,4
23,12,20,4
37,12,20,4
15,13,20,4
33,14,20,4
2,16,20,4
29,16,20,4
40,16,20,4
39,17,20,4
12,21,20,4
30,4,30,4
34,8,30,4
55,8,30,4
3,9,30,4
9,9,30,4
16,9,30,4
26,9,30,4
46,9,30,4
55,9,30,4
4,10,30,4
13,10,30,4
51,10,30,4
41,12,30,4
56,12,30,4
5,13,30,4
18,13,30,4
26,13,30,4
33,13,30,4
44,13,30,4
1,15,30,4
17,15,30,4
26,15,30,4
27,15,30,4
28,15,30,4
32,15,30,4
41,15,30,4
53,15,30,4
9,16,30,4
22,16,30,4
32,16,30,4
40,16,30,4
50,16,30,4
57,16,30,4
2,17,30,4
6,17,30,4
9,17,30,4
12,17,30,4
13,17,30,4
17,17,30,4
25,17,30,4
37,17,30,4
46,17,30,4
3,18,30,4
9,18,30,4
18,18,30,4
33,18,30,4
40,18,30,4
44,18,30,4
46,18,30,4
49,18,30,4
53,18,30,4
56,18,30,4
58,18,30,4
59,18,30,4
3,19,30,4
8,19,30,4
12,19,30,4
18,19,30,4
32,19,30,4
8,20,30,4
13,20,30,4
21,20,30,4
28,20,30,4
35,20,30,4
42,20,30,4
51,20,30,4
53,20,30,4
55,20,30,4
58,20,30,4
0,21,30,4
3,21,30,4
6,21,30,4
9,21,30,4
15,21,30,4
31,21,30,4
55,21,30,4
4,22,30,4
18,22,30,4
32,22,30,4
5,23,30,4
6,23,30,4
6,23,30,4
6,23,30,4
7,23,30,4
8,23,30,4
13,23,30,4
29,23,30,4
37,23,30,4
46,23,30,4
50,23,30,4
52,23,30,4
55,23,30,4
58,23,30,4
