"rainfall data copyright Foley Matthews 2013",,,
"each row below represents a rain event of 0.2mm",,,
"min","hour","day","month"
49,21,4,5
49,21,4,5
5,19,5,5
5,19,5,5
52,21,5,5
52,21,5,5
30,16,6,5
31,16,6,5
34,16,6,5
37,16,6,5
57,10,8,5
57,10,8,5
12,18,8,5
22,3,10,5
36,14,10,5
38,14,10,5
49,10,11,5
51,10,11,5
56,10,11,5
44,12,11,5
45,12,11,5
47,12,11,5
50,12,11,5
52,12,11,5
54,12,11,5
56,12,11,5
59,12,11,5
14,13,11,5
59,3,12,5
9,6,12,5
22,6,12,5
23,12,12,5
1,1,13,5
3,1,13,5
11,1,13,5
26,3,13,5
4,5,14,5
26,5,14,5
40,5,14,5
55,5,14,5
16,6,14,5
33,7,14,5
39,7,14,5
45,7,14,5
50,7,14,5
51,7,14,5
52,7,14,5
9,8,14,5
22,8,14,5
27,8,14,5
36,8,14,5
51,8,14,5
56,8,14,5
11,9,14,5
25,9,14,5
42,9,14,5
59,9,14,5
38,10,14,5
47,10,14,5
57,10,14,5
38,10,22,5
6,14,22,5
18,14,22,5
23,14,22,5
29,14,22,5
35,14,22,5
42,14,22,5
46,14,22,5
51,14,22,5
57,14,22,5
4,15,22,5
12,15,22,5
22,15,22,5
33,15,22,5
42,15,22,5
47,15,22,5
59,15,22,5
13,16,22,5
32,16,22,5
48,16,22,5
57,16,22,5
8,17,22,5
50,19,22,5
15,20,22,5
21,20,22,5
37,23,22,5
49,23,22,5
55,13,24,5
36,14,24,5
50,14,24,5
11,15,24,5
24,15,24,5
7,16,24,5
8,18,24,5
39,14,26,5
50,15,28,5
7,16,28,5
10,16,28,5
15,16,28,5
31,16,28,5
39,16,28,5
0,5,29,5
2,22,29,5
50,0,30,5
23,2,30,5
11,3,30,5
12,3,30,5
12,3,30,5
34,3,30,5
49,12,30,5
49,12,30,5
49,12,30,5
49,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
50,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
51,12,30,5
52,12,30,5
52,12,30,5
53,12,30,5
